OrderID,UserID,OrderNumber,OrderDate,OrderStatusID,CurrencyID,SubtotalAmount,ShippingAmount,TaxAmount,DiscountAmount,TotalAmount,PaymentMethodID,PaymentTransactionID,ShippingMethodID,TrackingNumber,BillingAddressID,ShippingAddressID,CustomerNotes,InternalNotes,IsGuestCheckout,IPAddress,UserAgent,CompletedDate,CancelledDate,CreatedDate,ModifiedDate
1,1,OrderNumber_1,2023-02-02,1,1,1,1,1,1,1,1,PaymentTransactionID_1,1,TrackingNumber_1,1,1,CustomerNotes_1,InternalNotes_1,False,IPAddress_1,UserAgent_1,2023-02-02,2023-02-02,2023-02-02,2023-02-02
2,2,OrderNumber_2,2023-03-03,2,2,2,2,2,2,2,2,PaymentTransactionID_2,2,TrackingNumber_2,2,2,CustomerNotes_2,InternalNotes_2,True,IPAddress_2,UserAgent_2,2023-03-03,2023-03-03,2023-03-03,2023-03-03
3,3,OrderNumber_3,2023-04-04,3,3,3,3,3,3,3,3,PaymentTransactionID_3,3,TrackingNumber_3,3,3,CustomerNotes_3,InternalNotes_3,False,IPAddress_3,UserAgent_3,2023-04-04,2023-04-04,2023-04-04,2023-04-04
4,4,OrderNumber_4,2023-05-05,4,4,4,4,4,4,4,4,PaymentTransactionID_4,4,TrackingNumber_4,4,4,CustomerNotes_4,InternalNotes_4,True,IPAddress_4,UserAgent_4,2023-05-05,2023-05-05,2023-05-05,2023-05-05
5,5,OrderNumber_5,2023-06-06,5,5,5,5,5,5,5,5,PaymentTransactionID_5,5,TrackingNumber_5,5,5,CustomerNotes_5,InternalNotes_5,False,IPAddress_5,UserAgent_5,2023-06-06,2023-06-06,2023-06-06,2023-06-06
6,6,OrderNumber_6,2023-07-07,6,6,6,6,6,6,6,6,PaymentTransactionID_6,6,TrackingNumber_6,6,6,CustomerNotes_6,InternalNotes_6,True,IPAddress_6,UserAgent_6,2023-07-07,2023-07-07,2023-07-07,2023-07-07
7,7,OrderNumber_7,2023-08-08,7,7,7,7,7,7,7,7,PaymentTransactionID_7,7,TrackingNumber_7,7,7,CustomerNotes_7,InternalNotes_7,False,IPAddress_7,UserAgent_7,2023-08-08,2023-08-08,2023-08-08,2023-08-08
8,8,OrderNumber_8,2023-09-09,8,8,8,8,8,8,8,8,PaymentTransactionID_8,8,TrackingNumber_8,8,8,CustomerNotes_8,InternalNotes_8,True,IPAddress_8,UserAgent_8,2023-09-09,2023-09-09,2023-09-09,2023-09-09
9,9,OrderNumber_9,2023-10-10,9,9,9,9,9,9,9,9,PaymentTransactionID_9,9,TrackingNumber_9,9,9,CustomerNotes_9,InternalNotes_9,False,IPAddress_9,UserAgent_9,2023-10-10,2023-10-10,2023-10-10,2023-10-10
10,10,OrderNumber_10,2023-11-11,10,10,10,10,10,10,10,10,PaymentTransactionID_10,10,TrackingNumber_10,10,10,CustomerNotes_10,InternalNotes_10,True,IPAddress_10,UserAgent_10,2023-11-11,2023-11-11,2023-11-11,2023-11-11
13,5,Order912,2023-07-07,9,5,5.51999299151703,5.55882527105245,6.604474781794565,4.974103474783578,5.899885254284607,2,Payme567,2,Track289,6,6,Custoje,Intervs,True,IPAdd650,UserAra,2023-07-07,2023-07-07,2023-07-07,2023-07-07
11,10,Ordervc,2023-10-10,4,4,7.212764480716016,9.976029202870656,9.493608158284966,8.143038944763655,9.86843127005255,2,Paymela,3,Track636,9,10,Custopd,Interdi,False,IPAdd167,UserAwx,2023-10-10,2023-10-10,2023-10-10,2023-10-10
18,2,Orderti,2023-04-04,9,6,3.4368768340503353,3.372899179889267,2.7201668515133663,3.3448494109625653,2.5297147516835485,1,Payme595,1,Tracklh,3,2,Custo112,Interiw,False,IPAdd806,UserA621,2023-04-04,2023-04-04,2023-04-04,2023-04-04
17,10,Ordereb,2023-10-10,3,5,10.103439130920375,9.672685728892295,10.584947233431192,9.85333569656508,7.909326464766244,7,Payme216,5,Track594,10,9,Custori,Inter453,False,IPAdd219,UserAjt,2023-10-10,2023-10-10,2023-10-10,2023-10-10
24,2,Order869,2023-04-04,9,8,2.681842318232021,2.7725033571538984,3.3678754734915186,2.576824754694927,2.4554564617113104,1,Payme137,5,Trackxo,3,2,Custokd,Interrx,False,IPAddwx,UserAuf,2023-04-04,2023-04-04,2023-04-04,2023-04-04
14,8,Order927,2023-09-09,7,1,8.779697414910672,7.918958197833771,7.229412955088062,7.19116716003091,8.4405165976837,4,Paymenq,7,Trackch,7,7,Custo902,Intergs,True,IPAdd7,UserAko,2023-09-09,2023-09-09,2023-09-09,2023-09-09
15,5,Orderyk,2023-06-06,4,8,5.206505177882482,4.441077388647638,4.438843269242873,4.871671952093274,4.058049639893431,6,Payme771,3,Trackmd,5,4,Custo855,Inter20,False,IPAdddm,UserA975,2023-06-06,2023-06-06,2023-06-06,2023-06-06
20,4,Orderyb,2023-07-07,4,2,6.814149231083036,6.291205575806779,5.372507860533374,5.936546546270708,5.074534670662336,4,Payme701,1,Trackpz,6,6,Custo580,Interpy,True,IPAdd439,UserAjy,2023-07-07,2023-07-07,2023-07-07,2023-07-07
12,1,Order364,2023-03-03,1,8,2.1084680848811566,2.2629658488019664,2.1658469149648614,1.9483897160061416,2.1870362432107133,6,Paymehv,2,Track902,2,1,Custowv,Intercw,True,IPAddgm,UserApj,2023-03-03,2023-03-03,2023-03-03,2023-03-03
31,4,Ordermt,2023-05-05,4,8,3.985314136125738,4.468692589011708,3.3488853608874747,3.5545542407560484,4.306859448472323,5,Paymepm,6,Tracklt,3,4,Custohg,Interdf,True,IPAdd370,UserA15,2023-05-05,2023-05-05,2023-05-05,2023-05-05
1,1,OrderNumber_1,2023-02-02,1,1,1,1,1,1,1,1,PaymentTransactionID_1,1,TrackingNumber_1,1,1,CustomerNotes_1,InternalNotes_1,False,IPAddress_1,UserAgent_1,2023-02-02,2023-02-02,2023-02-02,2023-02-02
2,2,OrderNumber_2,2023-03-03,2,2,2,2,2,2,2,2,PaymentTransactionID_2,2,TrackingNumber_2,2,2,CustomerNotes_2,InternalNotes_2,True,IPAddress_2,UserAgent_2,2023-03-03,2023-03-03,2023-03-03,2023-03-03
3,3,OrderNumber_3,2023-04-04,3,3,3,3,3,3,3,3,PaymentTransactionID_3,3,TrackingNumber_3,3,3,CustomerNotes_3,InternalNotes_3,False,IPAddress_3,UserAgent_3,2023-04-04,2023-04-04,2023-04-04,2023-04-04
4,4,OrderNumber_4,2023-05-05,4,4,4,4,4,4,4,4,PaymentTransactionID_4,4,TrackingNumber_4,4,4,CustomerNotes_4,InternalNotes_4,True,IPAddress_4,UserAgent_4,2023-05-05,2023-05-05,2023-05-05,2023-05-05
5,5,OrderNumber_5,2023-06-06,5,5,5,5,5,5,5,5,PaymentTransactionID_5,5,TrackingNumber_5,5,5,CustomerNotes_5,InternalNotes_5,False,IPAddress_5,UserAgent_5,2023-06-06,2023-06-06,2023-06-06,2023-06-06
6,6,OrderNumber_6,2023-07-07,6,6,6,6,6,6,6,6,PaymentTransactionID_6,6,TrackingNumber_6,6,6,CustomerNotes_6,InternalNotes_6,True,IPAddress_6,UserAgent_6,2023-07-07,2023-07-07,2023-07-07,2023-07-07
7,7,OrderNumber_7,2023-08-08,7,7,7,7,7,7,7,7,PaymentTransactionID_7,7,TrackingNumber_7,7,7,CustomerNotes_7,InternalNotes_7,False,IPAddress_7,UserAgent_7,2023-08-08,2023-08-08,2023-08-08,2023-08-08
8,8,OrderNumber_8,2023-09-09,8,8,8,8,8,8,8,8,PaymentTransactionID_8,8,TrackingNumber_8,8,8,CustomerNotes_8,InternalNotes_8,True,IPAddress_8,UserAgent_8,2023-09-09,2023-09-09,2023-09-09,2023-09-09
9,9,OrderNumber_9,2023-10-10,9,9,9,9,9,9,9,9,PaymentTransactionID_9,9,TrackingNumber_9,9,9,CustomerNotes_9,InternalNotes_9,False,IPAddress_9,UserAgent_9,2023-10-10,2023-10-10,2023-10-10,2023-10-10
10,10,OrderNumber_10,2023-11-11,10,10,10,10,10,10,10,10,PaymentTransactionID_10,10,TrackingNumber_10,10,10,CustomerNotes_10,InternalNotes_10,True,IPAddress_10,UserAgent_10,2023-11-11,2023-11-11,2023-11-11,2023-11-11
39,2,Order603,2023-04-04,4,7,3.4421534367155324,2.9890544334285343,3.4472636819982414,3.0888770635515987,2.963276333916612,8,Paymeeb,4,Track636,2,2,Custo984,Interdo,False,IPAddhz,UserA217,2023-04-04,2023-04-04,2023-04-04,2023-04-04
19,7,Ordereb,2023-10-10,5,8,9.337720302430426,8.2485334405117,8.033314444401693,9.745040987564519,9.730755209137381,2,Paymery,4,Trackqr,10,8,Custooq,Inter83,False,IPAddbe,UserAht,2023-10-10,2023-10-10,2023-10-10,2023-10-10
48,3,Order332,2023-05-05,7,1,4.721258044490163,4.799315867003922,4.275650534885183,3.6312176415472863,3.264370677031386,8,Payme792,1,Track527,4,3,Custocj,Inter891,True,IPAddwi,UserA193,2023-05-05,2023-05-05,2023-05-05,2023-05-05
29,5,Order484,2023-06-06,5,5,4.589134951094521,4.528512679135343,5.1981922116080295,4.751080718524513,4.379853023608669,7,Payme565,7,Track196,4,4,Custooc,Interzx,False,IPAddld,UserAvm,2023-06-06,2023-06-06,2023-06-06,2023-06-06
30,10,Orderiu,2023-10-10,3,8,9.813783537408717,10.214913321383117,9.287724181980254,9.575786710997708,10.314938140920873,1,Paymemi,2,Trackjy,10,10,Custogj,Inter539,False,IPAddim,UserA148,2023-10-10,2023-10-10,2023-10-10,2023-10-10
22,11,Order30,2023-10-10,2,8,9.153807913305965,10.149585506644675,10.150893790544854,8.199218083350686,7.366954175156338,3,Payme816,6,Track368,11,8,Custo150,Inter422,False,IPAddhf,UserAcz,2023-10-10,2023-10-10,2023-10-10,2023-10-10
26,6,Orderjr,2023-07-07,5,5,5.3572522663083655,6.330971114408564,5.902969198024154,6.400417721439554,6.95738047608077,1,Payme580,7,Trackyz,5,7,Custorl,Interhz,True,IPAddwc,UserAjj,2023-07-07,2023-07-07,2023-07-07,2023-07-07
23,6,Order892,2023-08-08,3,5,7.338495256764851,7.497740484145407,7.618599454677985,7.44570831288691,7.947343927495046,8,Payme118,7,Track78,7,5,Custo990,Inter693,False,IPAddoz,UserAnx,2023-08-08,2023-08-08,2023-08-08,2023-08-08
36,7,Order687,2023-09-09,2,4,8.553050821996012,8.551490551523242,8.270592293286931,9.031735363925677,9.408934053694573,3,Paymega,4,Trackox,7,6,Custovx,Interhk,True,IPAdddy,UserAhm,2023-09-09,2023-09-09,2023-09-09,2023-09-09
0,0,Orderky,2023-02-02,2,4,0.9773532344242807,1.1802220679405706,1.1421800773223818,0.8397418498424521,1.074272106192514,4,Payme152,7,Tracked,1,0,Custorq,Inter149,False,IPAddug,UserAdo,2023-02-02,2023-02-02,2023-02-02,2023-02-02
1,1,OrderNumber_1,2023-02-02,1,1,1,1,1,1,1,1,PaymentTransactionID_1,1,TrackingNumber_1,1,1,CustomerNotes_1,InternalNotes_1,False,IPAddress_1,UserAgent_1,2023-02-02,2023-02-02,2023-02-02,2023-02-02
2,2,OrderNumber_2,2023-03-03,2,2,2,2,2,2,2,2,PaymentTransactionID_2,2,TrackingNumber_2,2,2,CustomerNotes_2,InternalNotes_2,True,IPAddress_2,UserAgent_2,2023-03-03,2023-03-03,2023-03-03,2023-03-03
3,3,OrderNumber_3,2023-04-04,3,3,3,3,3,3,3,3,PaymentTransactionID_3,3,TrackingNumber_3,3,3,CustomerNotes_3,InternalNotes_3,False,IPAddress_3,UserAgent_3,2023-04-04,2023-04-04,2023-04-04,2023-04-04
4,4,OrderNumber_4,2023-05-05,4,4,4,4,4,4,4,4,PaymentTransactionID_4,4,TrackingNumber_4,4,4,CustomerNotes_4,InternalNotes_4,True,IPAddress_4,UserAgent_4,2023-05-05,2023-05-05,2023-05-05,2023-05-05
5,5,OrderNumber_5,2023-06-06,5,5,5,5,5,5,5,5,PaymentTransactionID_5,5,TrackingNumber_5,5,5,CustomerNotes_5,InternalNotes_5,False,IPAddress_5,UserAgent_5,2023-06-06,2023-06-06,2023-06-06,2023-06-06
6,6,OrderNumber_6,2023-07-07,6,6,6,6,6,6,6,6,PaymentTransactionID_6,6,TrackingNumber_6,6,6,CustomerNotes_6,InternalNotes_6,True,IPAddress_6,UserAgent_6,2023-07-07,2023-07-07,2023-07-07,2023-07-07
7,7,OrderNumber_7,2023-08-08,7,7,7,7,7,7,7,7,PaymentTransactionID_7,7,TrackingNumber_7,7,7,CustomerNotes_7,InternalNotes_7,False,IPAddress_7,UserAgent_7,2023-08-08,2023-08-08,2023-08-08,2023-08-08
8,8,OrderNumber_8,2023-09-09,8,8,8,8,8,8,8,8,PaymentTransactionID_8,8,TrackingNumber_8,8,8,CustomerNotes_8,InternalNotes_8,True,IPAddress_8,UserAgent_8,2023-09-09,2023-09-09,2023-09-09,2023-09-09
9,9,OrderNumber_9,2023-10-10,9,9,9,9,9,9,9,9,PaymentTransactionID_9,9,TrackingNumber_9,9,9,CustomerNotes_9,InternalNotes_9,False,IPAddress_9,UserAgent_9,2023-10-10,2023-10-10,2023-10-10,2023-10-10
10,10,OrderNumber_10,2023-11-11,10,10,10,10,10,10,10,10,PaymentTransactionID_10,10,TrackingNumber_10,10,10,CustomerNotes_10,InternalNotes_10,True,IPAddress_10,UserAgent_10,2023-11-11,2023-11-11,2023-11-11,2023-11-11
37,11,Order703,2023-10-10,1,1,8.044919971446491,10.330588940924898,7.654814295895224,7.378790337796984,8.39510820665065,8,Payme730,7,Trackbl,8,10,Custo83,Inter152,False,IPAdd282,UserAhq,2023-10-10,2023-10-10,2023-10-10,2023-10-10
33,5,Order443,2023-08-08,8,2,7.202631581331354,7.813925573348556,6.397119953367889,8.046664590502083,9.068850014859184,2,Payme757,7,Track134,6,4,Custoil,Interkc,False,IPAddlr,UserA126,2023-08-08,2023-08-08,2023-08-08,2023-08-08
16,7,Order186,2023-08-08,3,5,7.281148255429096,6.584609319940817,7.2181718514915945,6.195668655881618,7.438861648366825,5,Paymecv,3,Trackto,7,7,Custo146,Interpq,False,IPAdday,UserA544,2023-08-08,2023-08-08,2023-08-08,2023-08-08
44,9,Orderei,2023-10-10,5,1,9.393704426826819,11.3805238450772,10.992356653988235,11.364215388850612,6.819674070766154,4,Payme210,4,Track217,9,9,Custokf,Interni,False,IPAdd123,UserA765,2023-10-10,2023-10-10,2023-10-10,2023-10-10
21,7,Order348,2023-09-09,9,2,6.630641589094905,9.157645958472283,6.535367237000933,6.459972917074067,9.34771979040772,7,Payme798,7,Track523,6,7,Custouq,Intervx,True,IPAdd795,UserA745,2023-09-09,2023-09-09,2023-09-09,2023-09-09
38,1,Orderdf,2023-03-03,8,1,2.124407208414991,1.7417169031577835,2.2182784713980483,1.9952936200139109,2.2035566601975884,1,Payme885,3,Trackqq,2,2,Custo609,Interlh,True,IPAdd568,UserAni,2023-03-03,2023-03-03,2023-03-03,2023-03-03
45,7,Ordervq,2023-09-09,2,7,6.882755445426044,6.597995840323523,6.7312060072652535,9.277205868658475,7.499000882682457,5,Paymene,3,Trackll,8,6,Custojh,Inter597,True,IPAddpu,UserAqb,2023-09-09,2023-09-09,2023-09-09,2023-09-09
42,4,Orderkp,2023-05-05,3,3,4.6835446791591755,4.128324585604551,3.1836906142304584,3.969245540432477,4.846396586588538,2,Payme790,3,Tracktr,3,4,Custolj,Interje,True,IPAddfy,UserAmf,2023-05-05,2023-05-05,2023-05-05,2023-05-05
28,0,Orderev,2023-02-02,8,5,1.0833365644624138,1.3261181550912673,0.989374276709678,0.8188065498170498,1.0359672633218964,7,Paymerg,5,Tracklh,1,0,Custoni,Inter257,False,IPAdd493,UserAyz,2023-02-02,2023-02-02,2023-02-02,2023-02-02
25,11,Order850,2023-10-10,6,3,7.630157045187901,8.770509902993048,9.945111706061931,8.243010887465072,8.342476577573693,3,Payme852,1,Track723,12,7,Custo631,Inter82,False,IPAdd221,UserAcs,2023-10-10,2023-10-10,2023-10-10,2023-10-10
1,1,OrderNumber_1,2023-02-02,1,1,1,1,1,1,1,1,PaymentTransactionID_1,1,TrackingNumber_1,1,1,CustomerNotes_1,InternalNotes_1,False,IPAddress_1,UserAgent_1,2023-02-02,2023-02-02,2023-02-02,2023-02-02
2,2,OrderNumber_2,2023-03-03,2,2,2,2,2,2,2,2,PaymentTransactionID_2,2,TrackingNumber_2,2,2,CustomerNotes_2,InternalNotes_2,True,IPAddress_2,UserAgent_2,2023-03-03,2023-03-03,2023-03-03,2023-03-03
3,3,OrderNumber_3,2023-04-04,3,3,3,3,3,3,3,3,PaymentTransactionID_3,3,TrackingNumber_3,3,3,CustomerNotes_3,InternalNotes_3,False,IPAddress_3,UserAgent_3,2023-04-04,2023-04-04,2023-04-04,2023-04-04
4,4,OrderNumber_4,2023-05-05,4,4,4,4,4,4,4,4,PaymentTransactionID_4,4,TrackingNumber_4,4,4,CustomerNotes_4,InternalNotes_4,True,IPAddress_4,UserAgent_4,2023-05-05,2023-05-05,2023-05-05,2023-05-05
5,5,OrderNumber_5,2023-06-06,5,5,5,5,5,5,5,5,PaymentTransactionID_5,5,TrackingNumber_5,5,5,CustomerNotes_5,InternalNotes_5,False,IPAddress_5,UserAgent_5,2023-06-06,2023-06-06,2023-06-06,2023-06-06
6,6,OrderNumber_6,2023-07-07,6,6,6,6,6,6,6,6,PaymentTransactionID_6,6,TrackingNumber_6,6,6,CustomerNotes_6,InternalNotes_6,True,IPAddress_6,UserAgent_6,2023-07-07,2023-07-07,2023-07-07,2023-07-07
7,7,OrderNumber_7,2023-08-08,7,7,7,7,7,7,7,7,PaymentTransactionID_7,7,TrackingNumber_7,7,7,CustomerNotes_7,InternalNotes_7,False,IPAddress_7,UserAgent_7,2023-08-08,2023-08-08,2023-08-08,2023-08-08
8,8,OrderNumber_8,2023-09-09,8,8,8,8,8,8,8,8,PaymentTransactionID_8,8,TrackingNumber_8,8,8,CustomerNotes_8,InternalNotes_8,True,IPAddress_8,UserAgent_8,2023-09-09,2023-09-09,2023-09-09,2023-09-09
9,9,OrderNumber_9,2023-10-10,9,9,9,9,9,9,9,9,PaymentTransactionID_9,9,TrackingNumber_9,9,9,CustomerNotes_9,InternalNotes_9,False,IPAddress_9,UserAgent_9,2023-10-10,2023-10-10,2023-10-10,2023-10-10
10,10,OrderNumber_10,2023-11-11,10,10,10,10,10,10,10,10,PaymentTransactionID_10,10,TrackingNumber_10,10,10,CustomerNotes_10,InternalNotes_10,True,IPAddress_10,UserAgent_10,2023-11-11,2023-11-11,2023-11-11,2023-11-11
35,8,Order17,2023-09-09,8,1,8.392993818691101,6.600982883235405,9.077400705937073,7.99945351116035,8.115372109804996,7,Payme70,3,Track751,8,6,Custorn,Inter596,True,IPAddou,UserA46,2023-09-09,2023-09-09,2023-09-09,2023-09-09
27,6,Order980,2023-07-07,6,7,6.31616603462001,6.747594436434255,4.951441288877339,6.662856959288211,5.898430985873647,7,Payme998,6,Track709,7,6,Custo947,Interej,True,IPAdd85,UserAid,2023-07-07,2023-07-07,2023-07-07,2023-07-07
40,5,Ordereh,2023-07-07,3,1,4.6425302859742565,5.1761999995194765,6.0645984613993775,4.866495238504764,6.413559734625528,3,Paymeel,7,Track69,6,6,Custo661,Inter393,True,IPAddrk,UserA158,2023-07-07,2023-07-07,2023-07-07,2023-07-07
49,3,Order67,2023-05-05,8,2,4.7387353477263545,3.959945163608901,3.3741526597138125,3.571704408698361,4.097044056784926,6,Paymetm,6,Track308,2,3,Custolz,Interhx,True,IPAddmd,UserAwl,2023-05-05,2023-05-05,2023-05-05,2023-05-05
43,5,Orderfd,2023-08-08,3,3,7.151260024326866,6.6329512634034185,7.850252833608042,7.144611414993997,7.313455415337458,7,Payme128,5,Tracknt,7,5,Custo166,Inter727,False,IPAdd971,UserAuq,2023-08-08,2023-08-08,2023-08-08,2023-08-08
32,5,Orderqo,2023-07-07,7,1,4.554029351943927,5.83164642512983,5.982017109437469,6.4070054019202765,6.035210033018925,8,Paymeye,6,Track251,5,7,Custoov,Interab,True,IPAdd75,UserAqt,2023-07-07,2023-07-07,2023-07-07,2023-07-07
55,0,Order93,2023-02-02,8,8,1.0936799019218186,1.14431094630173,1.1901496511659522,0.8523064606209546,0.9482160792201165,8,Paymeim,3,Trackgc,0,0,Custopg,Inter362,False,IPAdd289,UserA904,2023-02-02,2023-02-02,2023-02-02,2023-02-02
66,0,Ordercd,2023-02-02,1,1,0.9613016288457434,0.8180969578045059,0.8204630749532034,1.0247267460663774,0.9450095103777139,1,Paymekl,2,Trackvq,1,0,Custo915,Interzo,False,IPAdd628,UserA403,2023-02-02,2023-02-02,2023-02-02,2023-02-02
47,7,Ordernm,2023-09-09,7,3,8.768328581687737,8.465608273967188,6.671512825014027,8.422055631644191,7.939652184758107,4,Paymekh,1,Track452,7,6,Custo156,Inter209,True,IPAdd794,UserAmn,2023-09-09,2023-09-09,2023-09-09,2023-09-09
46,1,Orderbd,2023-02-02,6,8,1.0648907198857396,1.010190860560014,0.9255010394951269,0.8692729695429311,1.164849664369604,6,Paymeju,5,Track125,1,0,Custogo,Interfz,False,IPAddhh,UserA354,2023-02-02,2023-02-02,2023-02-02,2023-02-02
1,1,OrderNumber_1,2023-02-02,1,1,1,1,1,1,1,1,PaymentTransactionID_1,1,TrackingNumber_1,1,1,CustomerNotes_1,InternalNotes_1,False,IPAddress_1,UserAgent_1,2023-02-02,2023-02-02,2023-02-02,2023-02-02
2,2,OrderNumber_2,2023-03-03,2,2,2,2,2,2,2,2,PaymentTransactionID_2,2,TrackingNumber_2,2,2,CustomerNotes_2,InternalNotes_2,True,IPAddress_2,UserAgent_2,2023-03-03,2023-03-03,2023-03-03,2023-03-03
3,3,OrderNumber_3,2023-04-04,3,3,3,3,3,3,3,3,PaymentTransactionID_3,3,TrackingNumber_3,3,3,CustomerNotes_3,InternalNotes_3,False,IPAddress_3,UserAgent_3,2023-04-04,2023-04-04,2023-04-04,2023-04-04
4,4,OrderNumber_4,2023-05-05,4,4,4,4,4,4,4,4,PaymentTransactionID_4,4,TrackingNumber_4,4,4,CustomerNotes_4,InternalNotes_4,True,IPAddress_4,UserAgent_4,2023-05-05,2023-05-05,2023-05-05,2023-05-05
5,5,OrderNumber_5,2023-06-06,5,5,5,5,5,5,5,5,PaymentTransactionID_5,5,TrackingNumber_5,5,5,CustomerNotes_5,InternalNotes_5,False,IPAddress_5,UserAgent_5,2023-06-06,2023-06-06,2023-06-06,2023-06-06
6,6,OrderNumber_6,2023-07-07,6,6,6,6,6,6,6,6,PaymentTransactionID_6,6,TrackingNumber_6,6,6,CustomerNotes_6,InternalNotes_6,True,IPAddress_6,UserAgent_6,2023-07-07,2023-07-07,2023-07-07,2023-07-07
7,7,OrderNumber_7,2023-08-08,7,7,7,7,7,7,7,7,PaymentTransactionID_7,7,TrackingNumber_7,7,7,CustomerNotes_7,InternalNotes_7,False,IPAddress_7,UserAgent_7,2023-08-08,2023-08-08,2023-08-08,2023-08-08
8,8,OrderNumber_8,2023-09-09,8,8,8,8,8,8,8,8,PaymentTransactionID_8,8,TrackingNumber_8,8,8,CustomerNotes_8,InternalNotes_8,True,IPAddress_8,UserAgent_8,2023-09-09,2023-09-09,2023-09-09,2023-09-09
9,9,OrderNumber_9,2023-10-10,9,9,9,9,9,9,9,9,PaymentTransactionID_9,9,TrackingNumber_9,9,9,CustomerNotes_9,InternalNotes_9,False,IPAddress_9,UserAgent_9,2023-10-10,2023-10-10,2023-10-10,2023-10-10
10,10,OrderNumber_10,2023-11-11,10,10,10,10,10,10,10,10,PaymentTransactionID_10,10,TrackingNumber_10,10,10,CustomerNotes_10,InternalNotes_10,True,IPAddress_10,UserAgent_10,2023-11-11,2023-11-11,2023-11-11,2023-11-11
65,0,Ordersj,2023-03-03,1,3,2.059868833257254,2.042502262492573,2.147722469503045,1.7161946636703123,2.2207847701461696,7,Paymeys,6,Track205,2,0,Custorn,Inter293,True,IPAddks,UserAcu,2023-03-03,2023-03-03,2023-03-03,2023-03-03
56,8,Ordertw,2023-10-10,9,8,5.877820971798788,11.65787153292014,9.181781037294353,9.242690848695252,11.581285453657648,3,Payme829,7,Track167,9,11,Custoha,Interhp,False,IPAddyi,UserA346,2023-10-10,2023-10-10,2023-10-10,2023-10-10
51,6,Order515,2023-08-08,2,8,8.503973826398658,8.478414424496533,7.665166342685273,6.214896303909999,8.485397719011283,5,Paymeed,2,Trackig,6,4,Custoty,Interhs,False,IPAddaq,UserAsb,2023-08-08,2023-08-08,2023-08-08,2023-08-08
53,7,Orderdd,2023-09-09,2,4,7.730705969379919,8.157550428218768,7.906649846013797,8.120056600618243,8.525102205886924,8,Payme57,1,Track526,8,6,Custo578,Inter474,True,IPAddod,UserA23,2023-09-09,2023-09-09,2023-09-09,2023-09-09
34,8,Order551,2023-10-10,9,3,7.799380598219278,11.158626463164603,7.780853887695225,6.080877738301688,9.718910808920208,6,Payme131,1,Trackhe,6,10,Custo4,Interjx,False,IPAddlx,UserA737,2023-10-10,2023-10-10,2023-10-10,2023-10-10
54,9,Order147,2023-11-11,4,6,11.500832698494909,11.061959717060466,8.128869259639925,10.640790743209141,10.45969282883565,6,Paymexg,2,Trackpl,10,11,Custo282,Inter972,True,IPAddtu,UserAdz,2023-11-11,2023-11-11,2023-11-11,2023-11-11
58,2,Order620,2023-04-04,2,4,3.3429655151766213,2.7824813487795748,2.8995895601057335,2.5790611293901966,2.8517522262085584,1,Paymemw,3,Tracksu,3,3,Custo780,Interdg,False,IPAddfq,UserA214,2023-04-04,2023-04-04,2023-04-04,2023-04-04
57,3,Orderfe,2023-04-04,4,3,3.305196891536601,3.497329556130706,3.234751542845978,3.244522299210845,2.875958471731482,1,Paymeih,3,Trackqi,2,3,Custo201,Inter389,False,IPAddif,UserA564,2023-04-04,2023-04-04,2023-04-04,2023-04-04
59,3,Order565,2023-05-05,1,8,3.937326397517128,4.37243557924003,3.7634818693311893,3.423933645728988,4.07447412596126,8,Payme18,1,Tracknv,3,4,Custo294,Inter833,True,IPAddbd,UserA963,2023-05-05,2023-05-05,2023-05-05,2023-05-05
68,2,Orderde,2023-04-04,2,1,2.720789684011963,2.876275706997686,2.8476619001564187,2.8872328918486634,3.078002618937563,4,Paymefr,2,Trackqw,3,2,Custo947,Inter948,False,IPAdd557,UserAlu,2023-04-04,2023-04-04,2023-04-04,2023-04-04
